group,home_team,away_team,odds_home,odds_draw,odds_away,source
A,Mexico,South Africa,1.44,4.7,9.0,real
A,South Korea,Czech Republic,2.59,2.7,3.43,real
A,Mexico,Czech Republic,1.76,3.55,4.55,real
A,South Africa,South Korea,4.76,3.7,1.69,real
A,Mexico,South Korea,1.83,3.45,4.27,real
A,Czech Republic,South Africa,1.62,3.88,5.09,real
B,Canada,Bosnia and Herzegovina,1.88,3.51,4.57,real
B,Switzerland,Qatar,1.23,6.78,12.91,real
B,Canada,Qatar,1.29,5.09,9.78,real
B,Bosnia and Herzegovina,Switzerland,5.29,3.93,1.59,real
B,Canada,Switzerland,3.44,3.33,2.1,real
B,Qatar,Bosnia and Herzegovina,5.68,3.68,1.6,real
C,Brazil,Morocco,1.65,3.85,5.9,real
C,Haiti,Scotland,5.87,4.26,1.58,real
C,Brazil,Scotland,1.43,4.93,5.68,real
C,Morocco,Haiti,1.29,5.11,9.23,real
C,Brazil,Haiti,1.072,11.984,29.053,real
C,Scotland,Morocco,4.1,3.2,1.95,real
D,United States,Paraguay,1.95,3.5,4.2,real
D,Australia,Turkey,5.07,3.8,1.74,real
D,United States,Australia,1.71,3.95,4.3,real
D,Paraguay,Turkey,3.42,3.13,2.2,real
D,United States,Turkey,1.83,4.29,3.99,real
D,Paraguay,Australia,2.85,2.3,4.0,real
E,Germany,Curaçao,1.04,19.0,41.0,real
E,Ivory Coast,Ecuador,3.69,2.82,2.45,real
E,Germany,Ecuador,1.53,5.25,5.5,real
E,Curaçao,Ivory Coast,19.0,8.5,1.17,real
E,Germany,Ivory Coast,1.53,4.28,5.3,real
E,Ecuador,Curaçao,1.18,7.15,11.69,real
F,Netherlands,Japan,2.03,3.62,3.75,real
F,Sweden,Tunisia,1.91,3.51,4.43,real
F,Netherlands,Sweden,1.61,4.02,4.95,real
F,Tunisia,Japan,5.25,3.57,1.66,real
F,Japan,Sweden,1.88,3.55,4.66,real
F,Tunisia,Netherlands,26.0,11.0,1.11,real
G,Belgium,Egypt,1.65,4.0,5.6,real
G,Iran,New Zealand,1.83,3.57,4.73,real
G,Belgium,Iran,1.37,4.62,7.75,real
G,Egypt,New Zealand,1.73,3.81,4.33,real
G,Belgium,New Zealand,1.16,7.85,16.32,real
G,Iran,Egypt,3.85,2.59,2.47,real
H,Spain,Cape Verde,1.07,11.86,29.08,real
H,Saudi Arabia,Uruguay,7.75,4.46,1.46,real
H,Spain,Uruguay,1.5,4.13,7.39,real
H,Cape Verde,Saudi Arabia,2.49,3.43,2.89,real
H,Spain,Saudi Arabia,1.09,10.18,21.5,real
H,Uruguay,Cape Verde,1.38,4.57,7.52,real
I,France,Senegal,1.49,4.4,7.09,real
I,Norway,Iraq,1.2,7.3,14.4,real
I,France,Norway,1.63,4.42,4.93,real
I,Senegal,Iraq,1.23,6.67,11.85,real
I,France,Iraq,1.11,8.06,24.06,real
I,Norway,Senegal,2.09,3.51,3.28,real
J,Argentina,Algeria,1.41,4.55,9.05,real
J,Austria,Jordan,1.33,5.54,9.3,real
J,Argentina,Austria,1.6,3.72,5.54,real
J,Algeria,Jordan,1.48,4.17,6.2,real
J,Argentina,Jordan,1.18,7.54,14.2,real
J,Austria,Algeria,2.86,2.17,3.9,real
K,Portugal,Uzbekistan,1.21,6.36,10.89,real
K,Colombia,DR Congo,1.43,4.23,7.22,real
K,Portugal,Colombia,1.82,3.88,4.28,real
K,Uzbekistan,DR Congo,4.25,4.24,1.75,real
K,Portugal,DR Congo,1.28,5.82,11.7,real
K,Colombia,Uzbekistan,1.39,4.73,9.17,real
L,England,Croatia,1.73,3.9,4.96,real
L,Ghana,Panama,2.18,3.51,3.45,real
L,England,Ghana,1.29,5.32,8.93,real
L,Croatia,Panama,1.55,3.68,6.29,real
L,England,Panama,1.16,8.12,15.29,real
L,Croatia,Ghana,1.79,3.23,5.8,real
